"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1871","코스닥","206650","유바이오로직스","제약",6620,20,177366303660
"1872","코스닥","084110","휴온스글로벌","제약",32550,-450,373157333850
"1873","코스닥","007390","네이처셀","제약",12050,250,737344307950
"1874","코스닥","228760","지노믹트리","제약",19900,-350,397725678500
"1875","코스닥","263050","유틸렉스","제약",64900,1200,482254636600
"1876","코스닥","298380","에이비엘바이오","제약",18750,750,867116718750
"1877","코스닥","246710","티앤알바이오팹","제약",10050,520,84124932000
"1878","코스닥","208340","파멥신","제약",31650,0,218727104850
"1879","코스닥","290650","엘앤씨바이오","제약",70000,-1000,515153240000
"1880","코스닥","153710","옵티팜","제약",7180,20,103232302440
"1881","코스닥","086820","바이오솔루션","제약",20350,500,164660519100
"1882","코스닥","080720","한국유니온제약","제약",17650,-900,104200799200
"1883","코스닥","175250","아이큐어","제약",24400,650,157293868000
"1884","코스닥","183490","엔지켐생명과학","제약",78500,-900,617344567000
"1885","코스닥","006620","동구바이오제약","제약",18000,350,1.72872e+11
"1886","코스닥","260660","알리코제약","제약",12400,250,121700730000
"1887","코스닥","950160","코오롱티슈진","제약",8010,0,489551575500
"1888","코스닥","174900","앱클론","제약",46650,1050,334760400000
"1889","코스닥","217730","강스템바이오텍","제약",8330,140,174758710210
"1890","코스닥","246720","아스타","제약",4070,40,46733868610
"1891","코스닥","002800","신신제약","제약",7590,120,115144095000
"1892","코스닥","241820","피씨엘","제약",17700,650,168654396900
"1893","코스닥","196300","애니젠","제약",7990,20,40079158350
"1894","코스닥","220100","퓨쳐켐","제약",10300,200,59870665800
"1895","코스닥","237690","에스티팜","제약",33950,-950,633371200000
"1896","코스닥","243070","휴온스","제약",48800,550,482180307200
"1897","코스닥","222110","팬젠","제약",7720,10,74434549320
"1898","코스닥","145020","휴젤","제약",388000,-3800,1676068820000
"1899","코스닥","214370","케어젠","제약",56300,-4900,604830900000
"1900","코스닥","182400","엔케이맥스","제약",12550,150,394998925900
"1901","코스닥","203690","프로스테믹스","제약",4440,140,202910814960
"1902","코스닥","206640","바디텍메드","제약",24400,1100,572632424800
"1903","코스닥","087010","펩트론","제약",16200,450,248289300000
"1904","코스닥","166480","코아스템","제약",12650,150,198825616000
"1905","코스닥","187420","제노포커스","제약",5660,70,123604568580
"1906","코스닥","031390","녹십자셀","제약",40300,200,488079345000
"1907","코스닥","200130","콜마비앤에이치","제약",28150,450,831651157700
"1908","코스닥","200670","휴메딕스","제약",19550,-150,194936842700
"1909","코스닥","142280","녹십자엠에스","제약",7590,-40,160280177970
"1910","코스닥","200780","비씨월드제약","제약",21950,-350,192587500100
"1911","코스닥","191420","테고사이언스","제약",18300,600,147967102200
"1912","코스닥","131030","디에이치피코리아","제약",7240,190,119929130280
"1913","코스닥","950130","엑세스바이오","제약",4315,100,144887598585
"1914","코스닥","066700","테라젠이텍스","제약",11350,150,352190011950
"1915","코스닥","085660","차바이오텍","제약",17250,150,905289729000
"1916","코스닥","138610","나이벡","제약",9720,110,96256955880
"1917","코스닥","048530","인트론바이오","제약",12900,150,387138610500
"1918","코스닥","096530","씨젠","제약",96000,6500,2518465920000
"1919","코스닥","068760","셀트리온제약","제약",72600,200,2598768618600
"1920","코스닥","049180","셀루메드","제약",5980,0,145526284020
"1921","코스닥","053950","경남제약","제약",8290,690,141373199980
"1922","코스닥","114450","KPX생명과학","제약",6450,200,9.675e+10
"1923","코스닥","042520","한스바이오메드","제약",19700,-50,195078343800
"1924","코스닥","067290","JW신약","제약",4700,55,195835680200
"1925","코스닥","102940","코오롱생명과학","제약",40100,50,457635475600
"1926","코스닥","086890","이수앱지스","제약",5830,120,155225452360
"1927","코스닥","086900","메디톡스","제약",104900,-5100,627034400100
"1928","코스닥","100700","세운메디칼","제약",3150,45,1.3797e+11
"1929","코스닥","018620","우진비앤지","제약",2435,45,63229676655
"1930","코스닥","058820","CMG제약","제약",3935,20,546540980140
"1931","코스닥","059210","메타바이오메드","제약",2400,20,57269642400
"1932","코스닥","036480","대성미생물","제약",13700,250,5.206e+10
"1933","코스닥","086450","동국제약","제약",96400,-100,857188800000
"1934","코스닥","039200","오스코텍","제약",22900,1450,668687121900
